"ISBN","AUTHOR","TITLE","CATEGORY","SERIES","RATING","BOOKFORMAT","READ","LOCATION","VALUE","PUBLISHER","PUBDATE","COPYRIGHTDATE","PAGES"
"073571410X","37signals","Defensive Design for the Web: How to improve error messages, help, forms, and other crisis points","Computers & Internet : Computer Science : Communications","Voices That Matter Series","3.5 Stars","Paperback","N","2nd Floor Storeroom","$5.98","New Riders Press","March 12, 2004","2004","246"
"0892131349","A. C. Bhaktivedanta Swami Prabhupada","Bhagavad Gita As It Is","Religion & Spirituality : Hinduism : Bhagavad Gita","","","Paperback","N","Books 24","$0.00","Bhaktivedanta Book Trust","March 1990","1984","636"
"0596521014","Aaland, Mikkel","Photoshop Lightroom 2 Adventure","Arts & Photography : Photography : Digital Photography","","4.5 Stars","Paperback","N","2nd Floor Storeroom","$26.45","O'Reilly Media, Inc.","October 20, 2008","2009","365"
"0340188782","Aarons, Edward S.","Assignment - Ceylon","Mystery & Thrillers : Thrillers : Espionage / Intrigue","","","Paperback","N","Emma's Studio","$0.50","Fawcett","","1973","208"
"","Aarons, Edward S.","Assignment - Nuclear Nude","Mystery & Thrillers : Mystery : Hard-Boiled","","","Paperback","Y","Books 08","$1.98","Fawcett Gold Medal","","1968","192"
"067188459X","ab Hugh, Dafydd","Fallen Heroes (ST:DS9 # 5)","Science Fiction & Fantasy : Television Series : Science Fiction","Star Trek : Deep Space Nine","","Mass Market Paperback","Y","","$5.50","Pocket Books","February 1994","1994","282"
"0942018052","Abbey, Barbara","Barbara Abbey's Knitting Lace","Crafts & Hobbies : Knitting","","4.5 Stars","Paperback","N","Emma's Studio","$24.95","Schoolhouse Press","January 1993","1993","144"
"0486415295","Abbey, Barbara","Complete Book of Knitting, The","Crafts & Hobbies : Knitting","","","Bookclub Edition","N","Emma's Studio","","Viking Press","","1971","115"
"0860671518","Abbott, G.","Mysteries of the Tower of London","History : Europe : England","","","Paperback","N","Books 23","£5.45","Hendon Publishing Co Ltd","May 1998","1998","128"
"0004341635","Abbott, May","How To Do Crosswords Faster","Entertainment : Puzzles & Games : Crosswords : General","","","Paperback","N","2nd Floor Storeroom","$0.01","The Daily Mail","","1982","167"
"0070004846","Abelson, Harold; Sussman, Gerald Jay; Sussman, Julie","Structure and Interpretation of Computer Programs, Second Edition","Computers & Internet : Programming : General","","3.5 Stars","Hardcover","N","2nd Floor Storeroom","$39.98","McGraw-Hill Science/Engineering/Math","August 1, 1996","1996","657"
"0563486546","Abnett, Dan","Border Princes (Torchwood #2)","Science Fiction & Fantasy : Television Series : Science Fiction","Torchwood","3.0 Stars","Hardcover","N","Emma's Studio","UK 3.50","Random House UK","January 25, 2007","2007","254"
"0316004758","Abram, Norm","Mostly Shaker from the New Yankee Workshop","Crafts & Hobbies : Woodworking","","5.0 Stars","Paperback","N","2nd Floor Storeroom","$11.48","Little, Brown and Company","June 1, 1992","1992","214"
"1929462093","Abrams, Pete","Sluggy Freelance: Game Called on Account of Naked Chick","Comics & Graphic Novels : Comic Strips : General","","","Paperback","Y","Books 19","$12.95","Plan Nine Publishing","September 25, 2000","2000","161"
"","Abrams, Pete","Sluggy Freelance: Mini Book 1","","","","Comic Book","Y","Books 19","$8.95","Plan Nine","April 2000","2000","48"
"","Abrams, Pete","Sluggy Freelance: Mini Book 2","","","","Comic Book","Y","Books 19","$8.95","Plan Nine","","","48"
"","Abrams, Pete","Sluggy Freelance: Mini Book 3","","","","Comic Book","Y","Books 19","","Plan Nine","","","48"
"1929462239","Abrams, Pete","Sluggy Freelance: Yippy Skippy, the Evil!","Comics & Graphic Novels : Comic Strips : General","","","Paperback","Y","Books 19","$12.95","Plan Nine Publishing","February 1, 2001","2000","154"
"0966067657","Abrams, Peter","Sluggy Freelance: Is It Not Nifty?","Comics & Graphic Novels : Comic Strips : General","","","Paperback","Y","Books 19","$12.95","Plan Nine Pub","December  1, 1998","1998","160"
