"ISBN","AUTHOR","TITLE","CATEGORY","SERIES","RATING","BOOKFORMAT","READ","LOCATION","VALUE","PUBLISHER","PUBDATE","COPYRIGHTDATE","PAGES"
"073571410X","37signals","Defensive Design for the Web: How to improve error messages, help, forms, and other crisis points","Computers & Internet : Computer Science : Communications","Voices That Matter Series","3.5 Stars","Paperback","N","2nd Floor Storeroom","$5.98","New Riders Press","March 12, 2004","2004","246"
"0596521014","Aaland, Mikkel","Photoshop Lightroom 2 Adventure","Arts & Photography : Photography : Digital Photography","","4.5 Stars","Paperback","N","2nd Floor Storeroom","$26.45","O'Reilly Media, Inc.","October 20, 2008","2009","365"
"067188459X","ab Hugh, Dafydd","Fallen Heroes (ST:DS9 # 5)","Science Fiction & Fantasy : Television Series : Science Fiction","Star Trek : Deep Space Nine","","Mass Market Paperback","Y","","$5.50","Pocket Books","February 1994","1994","282"
"0942018052","Abbey, Barbara","Barbara Abbey's Knitting Lace","Crafts & Hobbies : Knitting","","4.5 Stars","Paperback","N","Emma's Studio","$24.95","Schoolhouse Press","January 1993","1993","144"
"0486415295","Abbey, Barbara","Complete Book of Knitting, The","Crafts & Hobbies : Knitting","","","Bookclub Edition","N","Emma's Studio","","Viking Press","","1971","115"
"0826405134","Adams, Carol J.","Sexual Politics of Meat: A Feminist-Vegetarian Critical Theory","Social Sciences : Womens Studies","","","Trade Paperback","Y","Books 23","$12.95","Continuum","","1990","256"
"0671525808","Adams, Douglas","So Long and Thanks for All the Fish  (Hitchhiker's Guide Series #4)","Science Fiction & Fantasy : Fantasy : Contemporary","","","Mass Market Paperback","Y","Books 15","$3.95","Pocket Books","August  1985","1984","204"
"0434009210","Adams, Douglas","The Long Dark Tea-time of the Soul","Science Fiction & Fantasy : Fantasy : Contemporary","","","Hardcover","Y","Books 15","$7.02","Heinemann","","1988","246"
"0345453743","Adams, Douglas","The Ultimate Hitchhiker's Guide to the Galaxy: The Hitchhiker's Guide to the Galaxy/The Restaurant at the End of the Universe/Life, the Universe and Everything/So Long, and Thanks for All the Fish/Young Zaphod Plays it Safe/Mostly Harmless","Science Fiction & Fantasy : Science Fiction : General","","5.0 Stars","Paperback","N","Emma's Studio","$11.49","Del Rey","April 30, 2002","1979,1980,1982,1986,1986,1992","815"
"0140098429","Adams, James L.","Conceptual Blockbusting : A Guide to Better Ideas","Reference : General","","","Trade Paperback","N","Books 20","$7.39","Penguin","","1974","164"
"0380002930","Adams, Richard","Watership Down","Literature & Fiction : Classics : General","","4.5 Stars","Paperback","Y","George's Office","$2.50","Avon","January 1, 1976","1972","478"
"0836217578","Adams, Scott","Build a Better Life by Stealing Office Supplies : Dogbert's Big Book of Business","Comics & Graphic Novels : Comic Strips : Dilbert","","","Oversize Paperback","Y","Books 19","$7.95","Andrews McMeel Publishing","June 1994","1991","111"
"0836221192","Adams, Scott","Fugitive from the Cubicle Police : A Dilbert Book","Comics & Graphic Novels : Comic Strips : Dilbert","","","Oversize Paperback","Y","Books 19","$8.29","Andrews McMeel Publishing","October 1996","1996","224"
"0836204158","Adams, Scott","It's Obvious You Won't Survive by Your Wits Alone : A Dilbert Book","Comics & Graphic Novels : Comic Strips : Dilbert","","","Oversize Paperback","Y","Books 19","$8.29","Andrews McMeel Publishing","November 1995","1995","255"
